id,parent,ordering,en,description
101,,,Subject,
1011,101,1,Time,
1012,101,2,Space,
1013,101,3,"People, Groups",
1014,101,4,"Philosophy, Religion",
1015,101,5,"Science, Technology",
1016,101,6,"Art, Design",
1017,101,7,"Business, Goods",
1018,101,8,"Entertainment, Games",
10111,1011,1,Present Trends,
10112,1011,2,History of Universe,
10113,1011,3,Periods of Time,
10031,1012,1,Astronomic Map,
10032,1012,2,Terrestrial Map,
10033,1012,3,Anatomic Map,
10034,1012,4,"Histologic, Cytologic Map",
10035,1012,5,DNA Localisation,
10036,1012,6,Sub Macromolecular Localisation,
10041,1013,1,Leaders,
10042,1013,2,Organizations,
10043,1013,3,Governments,
10044,1013,4,Political Parties,
10051,1014,1,Religions,
10052,1014,2,Philosophy of Religions,
10053,1014,3,Epistemology,
10054,1014,4,Logic,
10055,1014,5,Metaphysics,
10056,1014,6,"Ethics, Political",
10057,1014,7,Aestetics,
10058,1014,8,Specialized Branches,